Company Name,Company Business,Market Value,Annual Revenue,Operating Income,Net Income,Assets,Liabilities
CHEVRON CORPORATION,Energy,162570000000,94470000000,0,-5540000000,223403000000,89285000000
WELLS FARGO & COMPANY,Financial Services,124780000000,72340000000,581000000,17100000000,1955000000000,1769000000000
PFIZER,Healthcare,204600000000,41910000000,8760000000,9620000000,177934000000,113598000000
COMCAST CORPORATION,Communication Services,239750000000,103560000000,17490000000,10530000000,2020000000000,182130000000
CISCO SYSTEMS,Technology,189090000000,49300000000,14100000000,11210000000,94853000000,56933000000
PEPSICO,Consumer Defensive,204940000000,70370000000,10080000000,7120000000,2020000000,2020000000
BOEING COMPANY,Industries,120840000000,58160000000,12970000000,11870000000,162872000000,174539000000
CITI GROUP,Financial Services,128380000000,74290000000,0,11370000000,2232000000,2041000000
ORACLE CORPORATION,Technology,190450000000,2020000000,15140000000,20120000000,2020000000,102721000000
ADOBE,Technology,239920000000,12860000000,4240000000,5260000000,2020000000,2020000000
NIKE,Consumer Cyclical,222080000000,37420000000,3110000000,2530000000,33258000000,24034000000
MCDONALD'S CORPORATION,Consumer Cyclical,159890000000,19200000000,7200000000,4730000000,49939000000,59402000000
ABBOTT LABORATORIES,Healthcare,194060000000,34600000000,5350000000,4490000000,68776000000,38198000000
BRISTOL-MYERS SQUIBB COMPANY,Healthcare,140170000000,42510000000,2170000000,-9010000000,128076000000,78982000000
SALESFORCE.COM,Technology,204220000000,17090000000,460000000,120000000,57780000000,19340000000
NVIDIA CORPORATION,Technology,323240000000,10910000000,2840000000,2790000000,25180000000,11266000000
NETFLIX,Communication Services,238890000000,24990000000,4580000000,2760000000,37175000000,27840000000
AMGEN,Healthcare,133850000000,25420000000,9140000000,7260000000,65011000000,54352000000
PHILIP MORRIS INTERNATIONAL,Consumer Defensive,128930000000,28690000000,11570000000,8029999999,39162000000,51159000000
THERMO FISHER SCIENTIFIC,Healthcare,184600000000,32210000000,7790000000,6370000000,69052000000,34545000000
ABBVIE,Healthcare,189100000000,45800000000,12560000000,4610000000,149530000000,134822000000
COSTCO WHOLESALE CORPORATION,Consumer Defensive,166900000000,166760000000,5430000000,4000000000,51732000000,34930000000
RAYTHEON TECHNOLOGIES CORPORATION,Industries,108600000000,77040000000,0,5540000000,161517000000,94257000000
PAYPAL HOLDINGS,Financial Services,274410000000,21450000000,3430000000,4200000000,2020000000,2020000000
HONEYWELL INTERNATIONAL,Industries,149250000000,32630000000,5690000000,4770000000,63604000000,45450000000
ELI LILLY AND COMPANY,Healthcare,161510000000,24530000000,6850000000,6190000000,41967000000,37695000000
BROADCOM,Technology,178080000000,23880000000,4210000000,2660000000,75930000000,52030000000
UNION PACIFIC CORPORATION,Industries,140310000000,19530000000,7830000000,5350000000,63555000000,47103000000
TEXAS INSTRUMENTS,Technology,150660000000,14460000000,6110000000,5590000000,17445000000,9801000000
IBM,Technology,112170000000,77150000000,0,9430000000,154200000000,133649000000
NEXTERA ENERGY,Utilities,151140000000,17990000000,4760000000,2920000000,121961000000,84597000000
LOCKHEED MARTIN CORPORATION,Industries,99318000000,59810000000,0,6230000000,49603000000,45852000000
DANAHER CORPORATION,Healthcare,157800000000,22280000000,4230000000,3510000000,2020000000,35007000000
STARBUCKS CORPORATION,Consumer Cyclical,125560000000,23510000000,1517000000,928000000,29140000000,37762000000
CHARTER COMMUNICATIONS,Communication Services,132229999999,48090000000,8460000000,3220000000,144200000000,113900000000
AMERICAN EXPRESS COMPANY,Financial Services,97357000000,30890000000,0,6750000000,188608000000,167546000000
GENERAL ELECTRIC COMPANY,Industries,94607000000,95210000000,0,4970000000,256487000000,222812000000
3M COMPANY,Industries,100820000000,32140000000,0,4570000000,45079000000,34222000000
QUALCOMM,Technology,172300000000,23530000000,6250000000,5190000000,32328000000,29022000000
AMERICAN TOWER CORPORATION (REIT),Real Estate,99708000000,7580000000,0,1880000000,41515000000,37353000000
THE GOLDMAN SACHS GROUP,Financial Services,90734000000,33294000000,0,8466000000,0,0
UNITED PARCEL SERVICE (UPS),Industries,145560000000,84628000000,7814000000,1427000000,62057000000,57694000000
CVS HEALTH CORPORATION,Healthcare,89399000000,156776000000,0,6634000000,235495000000,167473000000
U.S. BANCORP,Financial Services,70185000000,22883000000,0,6914000000,546652000000,494802000000
LOWE'S COMPANIES,Consumer Cyclical,117610000000,89590000000,9640000000,5830000000,46730000000,45290000000
ALTRIA GROUP,Consumer Defensive,76195000000,19796000000,0,1293000000,50200000000,44474000000
BOOKING HOLDINGS,Consumer Cyclical,91218000000,15066000000,0,4865000000,72261000000,63571000000
FIDELITY NATIONAL INFORMATION SERVICES,Technology,87777000000,10333000000,0,298000000,82642000000,33423000000
MORGAN STANLEY,Financial Services,123970000000,45260000000,0,10500000000,1115000000000,1012000000000
CATERPILLAR,Industries,98884000000,53800000000,0,6093000000,76566000000,62832000000
GILEAD SCIENCES,Healthcare,73031000000,22449000000,0,5386000000,0,0
MONDELEZ INTERNATIONAL,Consumer Defensive,83621000000,25868000000,0,3870000000,64194000000,38176000000
TESLA,Electric Vehicles,668900000000,31536000000,1990000000,690000000,38135000000,27623000000
BLACKROCK,Financial Services,110040000000,14539000000,0,4476000000,87976000000,53521000000
FISERV,Financial Services,76129000000,10187000000,0,893000000,77093000000,45252000000
STRYKER CORPORATION,Healthcare,92084000000,14884000000,0,2083000000,31483000000,18729000000
CIGNA CORPORATION,Healthcare,75209000000,153743000000,0,5104000000,0,0
ANTHEM,Healthcare,79856000000,104213000000,0,4807000000,87976000000,53521000000
TRUIST FINANCIAL CORPORATION,Financial Services,64614999999,12445000000,0,3224000000,504336000000,435559000000
ESTEE LAUDER COMPANIES,Consumer Defensive,96256000000,14863000000,0,1785000000,17781000000,13819000000
TJX COMPANIES,Consumer Cyclical,81991000000,41717000000,0,3272000000,26568000000,21908000000
BIOGEN,Healthcare,37680000000,14378000000,0,5888000000,0,0
AUTOMATIC DATA PROCESSING (ADP),Industries,75557000000,14175000000,0,2292000000,39165000000,33413000000
BECTON DICKINSON AND COMPANY,Healthcare,72777000000,17290000000,0,1233000000,0,0
CME GROUP,Financial Services,65354000000,4868000000,0,2116000000,117215000000,90407000000
CONOCOPHILLIPS COMPANY,Energy,42710000000,32567000000,0,7189000000,0,0
THE PNC FINANCIAL SERVICES GROUP,Financial Services,63131000000,17827000000,0,5369000000,458978000000,406055000000
INTUIT,Technology,104100000000,7679000000,0,1826000000,9707000000,4462000000
DOMINION ENERGY,Utilities,61350000000,16572000000,0,1358000000,103728000000,74857000000
DUKE ENERGY CORPORATION,Utilities,67384000000,25079000000,0,3748000000,0,0
T-MOBILE US,Communication Services,167370000000,68390000000,7050000000,3060000000,187199000000,124203000000
INTUITIVE SURGICAL,Healthcare,96172000000,4478000000,0,1379000000,10103000000,1363000000
S&P GLOBAL,Financial Services,79092000000,6699000000,0,2123000000,11105000000,8492000000
BLACKSTONE GROUP,Financial Services,44976000000,7421000000,0,2050000000,28844000000,23114000000
SOUTHERN COMPANY,Utilities,64885000000,21419000000,0,4754000000,119731000000,87479000000
TARGET CORPORATION,Consumer Defensive,88401000000,78112000000,0,3281000000,48000000000,35422000000
VMWARE,Technology,58878000000,10811000000,0,6412000000,28175000000,20268000000
ZOETIS,Healthcare,78657000000,6260000000,0,1500000000,13069000000,10087000000
BOSTON SCIENTIFIC CORPORATION,Healthcare,50913000000,10735000000,0,4700000000,30823000000,15207000000
THE CHARLES SCHWAB CORPORATION,Financial Services,99666000000,10721000000,0,3704000000,400484000000,369669000000
MICRON TECHNOLOGY,Technology,83969000000,23406000000,0,6313000000,52005000000,14087000000
ENTERPRISE PRODUCTS PARTNERS,Energy,42763000000,32789000000,0,4591000000,61944000000,37068000000
SIMON PROPERTY GROUP,Real Estate,27983000000,5755000000,0,2101000000,34026000000,31809000000
COLGATE-PALMOLIVE COMPANY,Consumer Defensive,73297000000,15693000000,0,2367000000,15141000000,14873000000
NORTHROP GRUMMAN CORPORATION,Industries,50802000000,33841000000,0,2248000000,44469000000,33890000000
CROWN CASTLE INTERNATIONAL CORPORATION,Real Estate,68658000000,5763000000,0,860000000,0,0
ILLINOIS TOOL WORKS,Industries,64532000000,14109000000,0,2521000000,14263000000,11905000000
VERTEX PHARMACEUTICALS,Healthcare,61457000000,4163000000,0,1177000000,10216000000,2697000000
APPLIED MATERIALS,Power Equipment,78908000000,14608000000,0,2706000000,0,0
SCHLUMBERGER,Energy,30388000000,32917000000,0,10137000000,44667000000,32627000000
MARSH & MCLENNAN COMPANIES,Financial Services,59341000000,16652000000,0,1742000000,32169000000,23943000000
CSX CORPORATION,Industries,69403000000,11937000000,0,3331000000,38904000000,26754000000
PROLOGIS,Real Estate,73671000000,3330000000,0,1573000000,0,0
ADVANCED MICRO DEVICES (AMD),Technology,110420000000,6731000000,0,341000000,6583000000,3278000000
GENERAL DYNAMICS CORPORATION,Industries,42701000000,39350000000,0,3484000000,0,0
ECOLAB,Basic Materials,61759000000,14906000000,0,1559000000,18082000000,12227000000
DEERE & COMPANY,Industries,84310000000,38941000000,0,3253000000,77264000000,64376000000
GLOBAL PAYMENTS,Industries,64483000000,4912000000,0,430600000,44001000000,16576000000
SERVICENOW,Technology,107390000000,3460000000,0,626600000,6521000000,4042000000
SHERWIN-WILLIAMS COMPANY,Basic Materials,66748000000,17900000000,0,1541000000,20494000000,16624000000
LAS VEGAS SANDS CORP,Consumer Cyclical,45524000000,13739000000,0,2698000000,21695000000,17975000000
GENERAL MOTORS COMPANY,Consumer Cyclical,59600000000,137237000000,0,6732000000,237535000000,198231000000
WALGREENS BOOTS ALLIANCE,Healthcare,34452000000,136866000000,0,3982000000,0,0
INTERCONTINENTAL EXCHANGE,Financial Services,64709999999,6547000000,0,1933000000,0,0
UBER TECHNOLOGIES,Technology,89952000000,14147000000,0,8506000000,0,0
AIR PRODUCTS AND CHEMICALS,Basic Materials,60395000000,8919000000,0,1760000000,0,0
NORFOLK SOUTHERN CORPORATION,Industries,60349000000,11296000000,0,2722000000,37962000000,23101000000
EQUINIX,Real Estate,63635000000,5562000000,0,507400000,27793000000,17404000000
PHILLIPS 66,Energy,30550000000,66000000,0,66000000,66000000,66000000
MARRIOTT INTERNATIONAL,Consumer Cyclical,42786000000,20972000000,0,1273000000,25680000000,25759000000
AIRBNB,Internet or Mobile App Based Business,87705000000,2019000000000,0,0,0,0
HCA HEALTHCARE,Healthcare,55649000000,51336000000,0,3505000000,48709000000,50495000000
AMERICAN INTERNATIONAL GROUP (AIG),Financial Services,32616999999,49792000000,0,3326000000,569388000000,507154000000
ILLUMINA,Healthcare,54020000000,3543000000,0,1002000000,7248000000,2685000000
EOG RESOURCES,Energy,29093000000,17122000000,0,2734000000,35222000000,14834000000
METLIFE,Financial Services,42253000000,69620000000,0,5899000000,768000000,691890000000
EDWARDS LIFESCIENCES CORPORATION,Healthcare,56859000000,4348000000,0,1047000000,6424000000,2585000000
AON,Financial Services,48941000000,11010000000,0,780000000,0,0
HUMANA,Healthcare,54296000000,4348000000,0,1047000000,38455000000,24039000000
WASTE MANAGEMENT,Industries,49838000000,64888000000,0,2707000000,26619000000,19728000000
KINDER MORGAN,Energy,30946000000,13209000000,0,2190000000,71784000000,39263000000
CAPITAL ONE FINANCIAL CORPORATION,Financial Services,45214000000,27831000000,0,5192000000,421296000000,365251000000
DUPONT DE NEMOURS,Basic Materials,52184000000,21512000000,0,498000000,66753000000,29748000000
EMERSON ELECTRIC COMPANY,Industries,48179000000,18372000000,0,2306000000,21730000000,13899000000
AMERICAN ELECTRIC POWER COMPANY,Utilities,41334000000,15561000000,0,1921000000,77805000000,57664000000
KIMBERLY-CLARK CORPORATION,Consumer Defensive,45861000000,18450000000,0,2157000000,16173000000,15905000000
THE BANK OF NEW YORK MELLON CORPORATION,Financial Services,37608000000,16009000000,0,4441000000,442316000000,398462000000
MOODY'S CORPORATION,Financial Services,54507000000,4829000000,0,1422000000,11298000000,10252000000
ACTIVISION BLIZZARD,Communication Services,71760000000,6489000000,0,1503000000,20220000000,6538000000
ANALOG DEVICES,Technology,54584000000,2019000000,0,2019000000,0,0
PUBLIC STORAGE,Real Estate,40372000000,2847000000,0,1272000000,0,0
EXELON CORPORATION,Utilities,41189000000,34438000000,0,2936000000,126313000000,93610000000
L3HARRIS TECHNOLOGIES,Industries,39715000000,12856000000,0,1333000000,11107000000,8193000000
LAM RESEARCH CORPORATION,Technology,68010999999,2020000000,0,2020000000,14559000000,9375000000
SYSCO CORPORATION,Consumer Defensive,37825000000,2020000000,0,2020000000,22628000000,21469000000
BAXTER INTERNATIONAL,Healthcare,40988000000,11360000000,0,1000000000,19465000000,11337000000
PROGRESSIVE CORPORATION,Financial Services,57874000000,38997000000,5162000000,3970000000,59406000000,42735000000
SEMPRA ENERGY,Utilities,36754000000,10829000000,0,2055000000,68385000000,44759000000
ROSS STORES,Consumer Cyclical,43721000000,16039000000,0,1661000000,11322000000,8455000000
REGENERON PHARMACEUTICALS,Healthcare,51551000000,7860000000,0,2109999999,120700000000,74179000000
AUTODESK,Technology,67141000000,3274000000,0,214000000,5747000000,5680000000
KEURIG DR PEPPER,Consumer Defensive,45030000000,11120000000,0,1254000000,49026000000,26103000000
DOW Inc,Basic Materials,41167000000,42951000000,0,1359000000,0,0
V.F. CORPORATION,Consumer Cyclical,33310000000,2020000000,0,2020000000,12479000000,9566000000
DOLLAR GENERAL CORPORATION,Consumer Defensive,51524000000,2020000000,0,2020000000,25847000000,18491000000
FEDEX CORPORATION,Industries,68818000000,2020000000,0,2020000000,77648000000,58186000000
KRAFT HEINZ COMPANY,Consumer Defensive,42376000000,24977000000,0,1935000000,98306000000,49267000000
MARATHON PETROLEUM CORPORATION,Energy,26911000000,123949000000,0,2636000000,84593000000,59884000000
VALERO ENERGY CORPORATION,Energy,23069000000,2019000000,0,2019000000,49099000000,29252000000
WORKDAY,Technology,57506000000,2020000000,0,2020000000,7501000000,4662000000
AFLAC,Financial Services,31238000000,22223000000,0,3304000000,157087000000,127667000000
NEWMONT CORPORATION,Basic Materials,48113000000,9740000000,0,2805000000,39885000000,17838000000
DELL TECHNOLOGIES,Technology,54953000000,2020000000,0,2020000000,121276000000,121085000000
DELTA AIR LINES,Industries,25643000000,47000000000,0,4760000000,72261000000,63571000000
OCCIDENTAL PETROLEUM CORPORATION,Energy,16119000000,2019000000,0,2019000000,89452000000,66106000000
PRUDENTIAL FINANCIAL,Financial Services,30916000000,64807000000,0,4140000000,915387000000,849490000000
ROPER TECHNOLOGIES,Industries,45209000000,2019000000,0,2019000000,0,0
FORD MOTOR COMPANY,Consumer Cyclical,34970000000,155900000000,0,47000000,269366000000,238542000000
CONSTELLATION BRANDS,Consumer Defensive,42458000000,2020000000,0,2020000000,26462000000,14774000000
ALLSTATE CORPORATION,Financial Services,33426000000,44675000000,0,4847000000,121266000000,94280000000
THE TRAVELERS COMPANIES,Financial Services,35557000000,31581000000,0,2603000000,113337000000,86394000000
CARNIVAL CORPORATION,Consumer Cyclical,23913000000,2019000000,0,2019000000,50818000000,31315000000
ENERGY TRANSFER LP,Energy,16672000000,2019000000,0,2019000000,0,0
MONSTER BEVERAGE CORPORATION,Consumer Defensive,48822000000,4200000000,0,1107800000,5194000000,972000000
COGNIZANT TECHNOLOGY SOLUTIONS,Technology,43814000000,16783000000,0,1842000000,16204000000,0
WELLTOWER,Real Estate,26966000000,5100000000,0,1232000000,33162000000,16787000000
XCEL ENERGY,Utilities,35822000000,11529000000,0,1372000000,53456000000,40071000000
TYSON FOODS,Consumer Defensive,23508000000,2019000000,0,2019000000,34558000000,19700000000
O'REILLY AUTOMOTIVE,Consumer Cyclical,32787999999,10149000000,0,1391000000,11728000000,11139000000
AMPHENOL CORPORATION,Technology,39121000000,8225000000,0,1155000000,0,0
GENERAL MILLS,Consumer Defensive,35952000000,17627000000,0,2181000000,31262000000,22232000000
SIRIUS XM HOLDINGS,Communication Services,27069000000,7794000000,0,914000000,12465000000,13133000000
PPG INDUSTRIES,Basic Materials,34064999999,15146000000,0,1243000000,18170000000,13338000000
JOHNSON CONTROLS INTERNATIONAL,Industries,33726999999,23968000000,0,5674000000,0,0
BROWN-FORMAN CORPORATION,Consumer Defensive,37006000000,3363000000,0,827000000,6191000000,4041000000
HILTON WORLDWIDE HOLDINGS,Consumer Cyclical,30853000000,9452000000,0,881000000,0,0
ELECTRONIC ARTS,Communication Services,41623000000,5537000000,0,3039000000,0,0
ONEOK,Energy,17056000000,10164000000,0,1277000000,22992000000,16752000000
YUM! BRANDS,Consumer Cyclical,32749000000,5597000000,0,1294000000,0,0
PAYCHEX,Industries,33604000000,4040000000,0,1098000000,0,0
ZIMMER BIOMET HOLDINGS,Healthcare,31939000000,7982000000,0,1131600000,0,0
CONSOLIDATED EDISON,Utilities,24204000000,12574000000,0,1343000000,59081000000,40856000000
HP INC,Technology,31712000000,58756000000,0,3152000000,0,0
TRANSDIGM GROUP,Industries,33688000000,5223000000,0,778700000,18179000000,22362000000
IQVIA HOLDINGS,Healthcare,34351999999,11088000000,0,191000000,23183000000,17592000000
PUBLIC SERVICE ENTERPRISE GROUP,Utilities,29491000000,10076000000,0,1693000000,48780000000,33289000000
EQUITY RESIDENTIAL,Real Estate,22067000000,2701000000,0,967300000,0,0
ENERGY TRANSFER OPERATING,Energy,24147000000,54032000000,0,4084000000,0,0
EBAY,Consumer Cyclical,34639000000,10800000000,0,1786000000,20014000000,17112000000
AVALONBAY COMMUNITIES,Real Estate,22397000000,2324600000,0,783900000,19351000000,8478000000
WEC ENERGY GROUP,Utilities,29029000000,7523000000,0,1134000000,35042000000,24549000000
STATE STREET CORPORATION,Financial Services,25677000000,10625000000,0,2009000000,280242000000,255369000000
T. ROWE PRICE GROUP,Financial Services,34280000000,5617900000,0,2076000000,0,0
KLA CORPORATION,Technology,39991000000,5806000000,0,1216700000,9280000000,6614000000
DIGITAL REALTY TRUST,Real Estate,39086000000,3209000000,0,493000000,33863000000,16837000000
WILLIAMS COMPANIES,Energy,24332000000,8201000000,0,847000000,0,0
REPUBLIC SERVICES,Industries,30693000000,10299000000,0,1073000000,0,0
SOUTHWEST AIRLINES,Industries,27513000000,22428000000,0,2300000000,35596000000,24718000000
ROYAL CARIBBEAN CRUISES,Consumer Cyclical,16756000000,10950000000,0,1878800000,33306000000,23758000000
AUTOZONE,Consumer Cyclical,26980000000,12631000000,0,1733000000,0,0
CINTAS CORPORATION,Industries,37108000000,7085000000,0,876000000,7669000000,4435000000
MOTOROLA SOLUTIONS,Technology,28829000000,7887000000,0,868000000,10374000000,11204000000
EVERSOURCE ENERGY,Utilities,29658000000,8526000000,0,909000000,42039000000,28077000000
SQUARE INC,Technology,98142000000,4713000000,0,375400000,7812000000,5885000000
CUMMINS,Industries,33612000000,23571000000,0,2260000000,20314000000,13122000000
PACCAR,Industries,29891000000,25599000000,0,2387900000,26406000000,13493000000
MPLX LP,Energy,22194000000,8625000000,0,935000000,37022000000,23039000000
SBA COMMUNICATIONS CORPORATION,Real Estate,31329000000,2014600000,0,146990000,9390000000,13681000000
EDISON INTERNATIONAL,Utilities,23778000000,12347000000,0,1284000000,67051000000,52798000000
PARKER-HANNIFIN CORPORATION,Industries,35086000000,13695000000,0,1206000000,19738000000,13624000000
BAKER HUGHES COMPANY,Energy,21585000000,23838000000,0,128000000,37523000000,26269000000
DISCOVER FINANCIAL SERVICES,Financial Services,27747000000,11459000000,0,2908000000,11392000000,104149000000
AGILENT TECHNOLOGIES,Healthcare,36359000000,5163000000,0,1071000000,9546000000,4565000000
FIRSTENERGY,Utilities,16609000000,11035000000,0,908000000,42403000000,35260000000
ARCHER-DANIELS-MIDLAND COMPANY,Consumer Defensive,28048000000,64656000000,0,1379000000,44341000000,24945000000
VIACOM CBS,Communication Services,23028000000,27812000000,0,3308000000,51188000000,37040000000
PPL CORPORATION,Utilities,21681000000,7769000000,0,1745000000,46520000000,33476000000
FORTIVE CORPORATION,Technology,23880000000,7320000000,0,669000000,16705000000,9310000000
STANLEY BLACK & DECKER,Industries,28609000000,14442000000,0,956000000,22984000000,13025000000
MICROCHIP TECHNOLOGY,Technology,37130000000,5274000000,0,570000000,17028000000,11527000000
CENTENE CORPORATION,Healthcare,34805000000,74639000000,0,1321000000,68347000000,43258000000
TWITTER,Communication Services,43068000000,3459000000,0,1466000000,12547000000,4889000000
PIONEER NATURAL RESOURCES COMPANY,Energy,18726000000,9671000000,1862000000,753000000,17906000000,6166000000
XILINX,Technology,34751000000,3162000000,0,793000000,0,0
FLEETCOR TECHNOLOGIES,Technology,22754000000,2648000000,0,895000000,10627000000,7660000000
PALANTIR TECHNOLOGIES,Software and IT,44225000000,742500000,0,-579600000,1594000000,3574000000
DOORDASH,Online Food Delivery,45346000000,885000000,0,667000000,2020000000,2020000000
KKR & CO,Financial Services,23046000000,4220000000,0,1972000000,62110000000,52155000000
MCKESSON CORPORATION,Healthcare,27925000000,231051000000,0,900000000,57666000000,50806000000
DTE ENERGY COMPANY,Utilities,23500000000,12669000000,0,1167000000,0,0
VERISK ANALYTICS,Industries,33752000000,2607000000,0,450000000,7008000000,4832000000
REALTY INCOME CORPORATION,Real Estate,21821000000,1491000000,0,436000000,19102000000,8758000000
BOSTON PROPERTIES,Real Estate,14715000000,2960000000,0,511000000,0,0
CORTEVA,Basic Materials,28847000000,13846000000,0,-959000000,0,0
ALEXION PHARMACEUTICALS,Healthcare,34173000000,4991000000,0,2404000000,0,0
SNOWFLAKE,Technology,79664000000,264700000,0,-348000000,0,0
TELEFONICA BRASIL,Communication Services,15102000000,44268000000,0,5001000000,15617000000,4789000000
CHIPOTLE MEXICAN GRILL,Consumer Cyclical,38801000000,5586000000,0,350000000,5370000000,3666000000
HORMEL FOODS CORPORATION,Consumer Defensive,25166000000,9497000000,0,979000000,9600000000,3333000000
SPLUNK,Technology,27475000000,2359000000,0,-337000000,5676000000,3977000000
ROCKWELL AUTOMATION,Industries,29137000000,6694000000,0,695000000,7329000000,6559000000
ENTERGY CORPORATION,Utilities,19991000000,10878000000,0,1241000000,53365000000,42685000000
MATCH GROUP,Communication Services,40214000000,4757000000,0,431000000,2844000000,2548000000
KELLOGG COMPANY,Consumer Defensive,21389000000,13578000000,0,960000000,18551000000,15681000000
SNAP INC,Communication Services,74603000000,1715000000,0,-1034000000,4704000000,2509000000
SYNCHRONY FINANCIAL,Financial Services,20263000000,17170000000,0,3747000000,96544000000,84645000000
BEST BUY,Consumer Cyclical,25840000000,43638000000,0,1541000000,17412000000,13634000000
KROGER,Consumer Defensive,24180000000,122286000000,0,1640000000,47543000000,37723000000
CERNER CORPORATION,Healthcare,24061000000,5692000000,0,529000000,6879000000,2861000000
CORNING,Ceramic Products,27504000000,11503000000,0,862000000,27546000000,15497000000
PALO ALTO NETWORKS,Technology,34411000000,3408000000,0,-267000000,9065000000,7964000000
DOLLAR TREE,Consumer Defensive,25410000000,23610000000,0,827000000,20671000000,13857000000
VERISIGN,Technology,24693000000,1231000000,0,612000000,1820000000,3220000000
LIBERTY BROADBAND CORPORATION,Communication Services,37970000000,15000000,0,117000000,12335000000,1615000000
FOX CORPORATION,Communication Services,17275000000,12303000000,0,999000000,0,0
NORTHERN TRUST CORPORATION,Financial Services,19384000000,5298000000,0,1429000000,151433000000,140051000000
AMETEK,Industries,27824000000,5158000000,0,861000000,0,0
UNITED AIRLINES HOLDINGS,Industries,12658000000,43259000000,0,3009000000,54901000000,46384000000
WEYERHAEUSER COMPANY,Real Estate,25028000000,6554000000,0,76000000,16254000000,8052000000
M&T BANK CORPORATION,Financial Services,16332999999,6192000000,0,1849000000,139537000000,123591000000
IDEXX LABORATORIES,Healthcare,42639000000,2407000000,0,428000000,1960000000,1688000000
RESMED,Healthcare,30803000000,2957000000,0,622000000,4587000000,2090000000
MCCORMICK & COMPANY,Consumer Defensive,25508000000,5347000000,0,746000000,1760000000,6928000000
ANSYS,Technology,31245000000,1516000000,0,451000000,4672000000,1234000000
AMERICAN WATER WORKS COMPANY,Utilities,27820000000,3610000000,0,621000000,24009000000,17667000000
COSTAR GROUP,Real Estate,36433000000,1399000000,0,315000000,6479000000,1255000000
MSCI,Financial Services,37015000000,1558000000,0,564000000,4187000000,4498000000
THE HERSHEY COMPANY,Consumer Defensive,31707000000,7986000000,0,1149000000,8911000000,7157000000
ALIGN TECHNOLOGY,Healthcare,42136000000,2407000000,0,443000000,4026000000,1180000000
HALLIBURTON COMPANY,Energy,16707999999,22408000000,0,-1131000000,21104000000,15915000000
HARTFORD FINANCIAL SERVICES GROUP,Financial Services,17551000000,20740000000,0,2085000000,70990000000,53918000000
FIFTH THIRD BANCORP,Financial Services,19641000000,7253000000,0,2398000000,202906000000,180571000000
IAC/INTERACTIVECORP,Communication Services,16808000000,4757000000,0,431000000,0,0
COPART,Industries,30048000000,2205000000,0,700000000,3455000000,966000000
VEEVA SYSTEMS,Healthcare,41236000000,1104000000,0,301000000,2516000000,560000000
HESS CORPORATION,Energy,16210999999,6495000000,0,-412000000,19546000000,13151000000
VENTAS,Real Estate,18369000000,3787000000,583000000,439000000,0,0
SYNOPSYS,Technology,39672000000,3361000000,0,532000000,7663000000,3067000000
AMERIPRISE FINANCIAL,Financial Services,22927000000,12890000000,0,1893000000,154902000000,148402000000
FASTENAL COMPANY,Industries,28031000000,5333000000,0,791000000,4085000000,1302000000
BALL CORPORATION,Consumer Cyclical,30480000000,11474000000,0,566000000,0,0
HEWLETT PACKARD ENTERPRISE COMPANY,Technology,15328000000,29135000000,0,1049000000,58239000000,42084000000
SKYWORKS SOLUTIONS,Technology,25391000000,3377000000,0,853000000,5072000000,890000000
